п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"137578";"ООО ПКФ «Активатор»/(«Активатор»)";"Москва г, ул Маршала Савицкого, д. 26, к. 1";"ЮАО";"Технологии Безопасности";"Рощин С.С.";"КВ";"55.5041571";"37.5942737";"новый";"#34747985"
"137189";"ООО «Гард-НН»/(компьютерный клуб)";"Москва г, ул Братиславская, д. 14";"ЮАО";"Технологии Безопасности";"Гусев П.И.";"КВ";"55.6591734";"37.7547609";"новый";"#32562023"
"134888";"ООО ""РОМАШКИ"", Аптека ""ФармЛенд""";"Москва г, ул Совхозная, д. 20";"ЮАО";"Технологии Безопасности";"Гунин В.В.";"М";"55.6807105";"37.7644932";"новый";"#32935472"
"138214";"ООО ""ГРАНТ""";"р.п. Боброво, ул. Крымская, 19к 1";"ЮАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.5749323";"38.2566722";"новый";"#40133306"
"138275";"ООО ""МЕРИДИАН""";"Московская область, Бутово Парк, д. 18";"ЮАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.5456092";"37.5897228";"новый";"#40143380"
"1478";"ООО ""Парацельс";"Москва г, Александры Монаховой, 105, к. 1";"ЮАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.5408008";"37.4954976";"новый";"#40144557"
"138135";"ООО САНЛАЗЕР";"Москва г, ул Поляны, д. 5А, к. 2";"ЮАО";"Технологии Безопасности";"Калиниченко А.С.";"КВ";"55.5533959";"37.5559017";"новый";"#40145347"
"90032";"ООО «ВАРИКОЗА НЕТ МСК»";"Москва улица Генерала Белова, 28к2";"ЮАО";"Технологии Безопасности";"Сафин М.С.";"КВ";"55.6041939";"37.7240708";"новый";"#40182744"
"№ 1003ТБ";"ООО ""ДОКТОР СТОМ""";"Подольск, ул Ватутина, д. 6";"ЮАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.4131231";"37.52723780000001";"новый";"-"
"137162";"ИП Малышев Алексей Викторович(Суши Вок)";"г Домодедово, Набережная ул, д. 1, стр. 1";"ЮАО";"Технологии Безопасности";"Моторин А.В.";"КВ";"55.4473798";"37.7352473";"новый";"#41136328"
"138215";"ООО ""Планета Здоровья Холдинг"" / Аптека Планета Здоровья";"Лопатино, Солнечный бульвар, д.13";"ЮАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.53108599999999";"37.6415839";"новый";"#40810913"
"151678";"ООО «Чайка»/ Пекарня Буханка";"Москва г, ул 6-я Радиальная, д. 5, к. 4";"ЮАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.603556";"37.6641801";"новый";"#40831130"
"138283";"ИП Усманова Яна Владиславовна,студия красоты YOU";"рп Дрожжино, Новое шоссе, д. 11, к. 1";"ЮАО";"Технологии Безопасности";"Калиниченко А.С.";"КВ";"55.5280111";" ";"новый";"https://durnovcev2000.kaiten.ru/space/306672/card/42910617"
"123456";"офис";"москва";"ЮАО";"Технологии Безопасности";"Дурновцев Н.Н.";"КВ";"55.755826";"37.6173";"22.22.2222";"-"
"22081";"ООО ""Кофейная волна""/Кофейня «SURF COFFEE & RADIO»";"Москва г, наб Новоданиловская, д. 8";"ЮАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.6960245";"37.6251275";"-";"#32562097"
"39136";"ООО ""Ориент Сервис Плюс"" магазин ""Авоська""";"Москва, ул. Рождественская 16, к. 3";"ЮАО";"Аллигатор";"Певзнер Ю.А.";"КВ";"55.7028913";"37.9205685";"20.11.2024";"#32562602"
"132325";"ООО ""Медицина"" анализы ""cmd""";"г. Москва, ул. Генерала Белова д. 28 к. 1";"ЮАО";"Гранит";"Христенко Е.А.";"КВ";"55.6053643";"37.7245257";"29.10.2024";"#32511430"
"136301";"Нефёдов Павел Владимирович (""СДЭК"")";"Москва г, Рязановское п, Остафьево с, Троицкая ул, дом 2/1";"ЮАО";"Технологии Безопасности";"Михайлов А.Ю.";"КВ";"55.4961364";"37.5018599";"22.10.2024";"#32510817"
"1516";"ООО «Первое Независимое Рейтинговое Агентство»/ офис";"Москва, ул. Болотниковская, дом 21, стр. 1";"ЮАО";"Технологии Безопасности";"Саилова А.";"М";"55.65602999999999";"37.596371";"22.10.2024";"#40684837"
"90340";"Мед.центр ""Евроэстетик"", ООО Транссервис";"ул. Кантемировская, д. 16/1";"ЮАО";"Гранит";"Мозговой И.В.";"М";"55.638462";"37.6678221";"22.10.2024";"#32511903"
"90980";"Смоленский храм";"МО, г.Домодедово, село Константиново, 81А";"ЮАО";"Гранит";"Моторин А.В.";"КВ";"55.48544339999999";"37.9842475";"15.10.2024";"#32510785"
"131556";"ИП Дубовцев Никита Игоревич Барбершоп «Черная кость»";"МО, г. Домодедово, 1-ый Советский проезд, д.2, к.1";"ЮАО";"Гранит";"Моторин А.В.";"КВ";"55.441131";"37.768688";"15.10.2024";"#32510799"
"91012";"Аптека ""Планета Здоровья""";"Мисайлово, Литературный бульвар 5";"ЮАО";"Гранит";"Пряшников Д.Ю.";"М";"55.5586429";"37.8119545";"15.10.2024";"#32511549"
"91514";"Аптека ""Планета Здоровья""";"д. Мисайлово, Литературный бульвар д. 4, пом. 619";"ЮАО";"Гранит";"Пряшников Д.Ю.";"М";"55.55873320000001";"37.8139731";"15.10.2024";"#32511561"
"90940";"Аптека Планета Здоровья";"Домодедово, мкр. Авиационный, проспект Академика Туполева д.3/1";"ЮАО";"Гранит";"Пряшников Д.Ю.";"М";"55.416126";"37.837076";"15.10.2024";"#32511570"
"90246";"Аптека ""Планета Здоровья""";"МО, г. Домодедово, ул. Лунная 25/3";"ЮАО";"Гранит";"Пряшников Д.Ю.";"М";"55.4190686";"37.7582106";"15.10.2024";"#32511582"
"90247";"Аптека ""Планета Здоровья""";"МО, г. Домодедово, ул. Рабочая д. 46";"ЮАО";"Гранит";"Пряшников Д.Ю.";"М";"55.423687";"37.762733";"15.10.2024";"#32511592"
"134211";"ООО «ДОКТОР СТОМ»/Стоматологическая клиника «Dr. Stom»";"Москва г, Рязановское п, Остафьевское ш, дом № 12, корпус 1";"ЮАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.5053216";"37.5228828";"09.10.2024";"#32510806"
"ТО№ 474 ТБ";"ИП Алмазова Лилия Александровна/Детский центр ABC club";"Москва г, Брусилова ул, дом 7";"ЮАО";"Технологии Безопасности";"Моторин А.В.";"КВ";"55.5007129";"37.576009";"09.10.2024";"#32510823"
"132274";"ООО ""Азон"" /аптека Планета Здоровья";"Московская обл, Подольск г, микрорайон Климовск, Победы, 2/18";"ЮАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.4312453";"37.5457647";"09.10.2024";"#32510894"
"1300";"ИП Коржаневская Тамара Геннадиевна(магазин СУШИ ВОК)";"Подольск г, Бульвар 65-летия Победы, дом № 12, корпус 1";"ЮАО";"Гранит";"Калиниченко А.С.";"КВ";"55.4193004";"37.4820691";"09.10.2024";"#32511140"
"133124";"ИП Карпенок Л.М./Магазин Продуктов";"Московская обл, Подольск г, Кузнечики п, Флотский пр-д, дом 3";"ЮАО";"Технологии Безопасности";"Калиниченко А.С.";"КВ";"55.41664129999999";"37.4754835";"09.10.2024";"#32510902"
"132674";"ИП Прокопенко Кирилл Игоревич Пивной магазин ПивСтанция";"Москва, пос. Рязановское, с. Остафьево, ш. Остафьевское, д. 14, к. 1";"ЮАО";"Гранит";"Михно С.С.";"М";"55.51467220000001";"37.5284549";"09.10.2024";"#32511597"
"90370";"Аптека Планета здоровья";"МО, Климовск, Победы ул, д 2/18";"ЮАО";"Гранит";"Пряшников Д.Ю.";"М";"55.359395";"37.5207539";"09.10.2024";"#32511791"
"ТО- № 997ТБ";"ИП Ручкина Анисья Дмитриевна / Пекарня “Буханка”";"Москва, Остафьевское шоссе, дом 14, стр. 1";"ЮАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.50057289999999";"37.51803659999999";"09.10.2024";"#32510746"
"ТО- № 934ТБ";"Медицинская клиника ""CMD"", ООО ""Гемакс""";"МО, г. Подольск, ул. Свердлова 21";"ЮАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.423916";"37.539336";"09.10.2024";"#35908159"
"ТО-№ 935ТБ";"ООО «Авиценна» / Медицинская клиника «CMD";"Московская обл, г Подольск, ул Ленинградская, д. 11";"ЮАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.42545999999999";"37.4971";"09.10.2024";"#35897844"
"137190";"ООО «Гард-НН»/(компьютерный клуб)";"Москва г, вн.тер.г. муниципальный округ Зябликово, проезд Ореховый, д. 41, стр. 2";"ЮАО";"Технологии Безопасности";"Гусев П.И.";"КВ";"55.61620199999999";"37.730736";"08.10.2024";"#32510826"
"136836";"ООО «Гард-НН»/(компьютерный клуб)";"Москва г, б-р Симферопольский, д. 17, к. 2";"ЮАО";"Технологии Безопасности";"Гусев П.И.";"КВ";"55.651678";"37.606187";"08.10.2024";"#32511467"
"93079";"Аптека ""Планета Здоровья""";"г. Москва, Каширское шоссе, д.106, корп. А";"ЮАО";"Гранит";"Пряшников Д.Ю.";"М";"55.6112709";"37.716451";"08.10.2024";"#32511674"
"90919";"Аптека ""Планета Здоровья""";"г.Москва, Борисовские пруды д.21/1";"ЮАО";"Гранит";"Пряшников Д.Ю.";"М";"55.6357472";"37.7231192";"08.10.2024";"#32511808"
"91075";"Аптека ""Планета Здоровья""";"г.Москва. ул. Мусы Джалиля 28";"ЮАО";"Гранит";"Пряшников Д.Ю.";"М";"55.620254";"37.741821";"08.10.2024";"#32511810"
"84097";"ресторан KFC";"г. Москва, Борисовский пр. вл. 46 А";"ЮАО";"Аллигатор";"Певзнер Ю.А.";"М";"55.61345300000001";"37.729674";"08.10.2024";"#32511847"
"93081";"Аптека ""Планета Здоровья""";"г. Москва, ул. Ключевая д.24/1";"ЮАО";"Гранит";"Пряшников Д.Ю.";"М";"55.63157349999999";"37.7655176";"08.10.2024";"#32511872"
"134831";"ИП Львов Евгений Александрович/Кладовка ""СКЛАДНО""";"Москва г, Ключевая ул, дом 16/29";"ЮАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.63465799999999";"37.7606449";"08.10.2024";"#32511899"
"91055";"ИП Бутакова Людмила Анатольевна (магазин продуктов «Мясная Лавка»)";"Москва г, Радиальная 6-я ул, дом № 5, корпус 2";"ЮАО";"Гранит";"Калиниченко А.С.";"КВ";"55.604605";"37.658760";"07.10.2024";"#32511385"
"132279";"ВКУСНО ООО /Пекарня Буханка";"Москва г, Ягодная ул, дом № 8, корпус 1";"ЮАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.5776755";"37.6761902";"07.10.2024";"#32511414"
"1118";"МК аптека";"г. Москва, ул. Ягодная 6";"ЮАО";"Гранит";"Моторин А.В.";"КВ";"55.5766741";"37.6754621";"07.10.2024";"#32511417"
"133401";"ООО ""Альфа""/ аптека Планета Здоровья";"Москва г, Бирюлевская ул, дом 49, корпус 4, строение 2";"ЮАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.5841092";"37.6762954";"07.10.2024";"#32511423"
"137283";"ООО «Гард-НН»/(компьютерный клуб)";"Москва г, ул Бирюлёвская, д. 43";"ЮАО";"Технологии Безопасности";"Гусев П.И.";"КВ";"55.5866772";"37.6666236";"07.10.2024";"#32511464"
"93125";"Аптека ""Планета Здоровья""";"г. Москва, Электролитный пр-д. д.16/7";"ЮАО";"Гранит";"Пряшников Д.Ю.";"М";"55.6693143";"37.61108249999999";"07.10.2024";"#32511768"
"84099";"ресторан KFC";"г. Москва, ул. Бирюлевская д. 26а";"ЮАО";"Аллигатор";"Певзнер Ю.А.";"М";"55.5946593";"37.6624278";"07.10.2024";"#32511842"
"136647";"ООО «Анкер», Магазин «Маркет на углу»";"Москва г, Воронежская ул, дом № 16";"ЮАО";"Технологии Безопасности";"Калиниченко А.С.";"КВ";"55.6107585";"37.7405236";"07.10.2024";"#37879123"
"130403";"Васильева Татьяна Викторовна/Барбершоп «Черная кость»";"Москва г, Чертановская ул, дом 32, строение 2";"ЮАО";"Технологии Безопасности";"Моторин А.В.";"КВ";"55.618399";"37.592742";"04.10.2024";"#32510831"
"91351";"магазин Ассортида, ИП Герасимова Людмила Васильевна (магазин продуктов) магазин Ассортида";"г. Москва, ул. Чертановская 9 с. 2";"ЮАО";"Гранит";"Калиниченко А.С.";"КВ";"55.6291004";"37.6006902";"04.10.2024";"#32510837"
"ТО-961";"ООО «Фарм-Фаст» «Семейная стоматология»";"г. Москва, мкр. Чертаново Северное, д.1а";"ЮАО";"Гранит";"Чиграй А.С.";"КВ";"55.6632602";"37.59913530000001";"04.10.2024";"#32510843"
"ТО-999";"ИП Волжин Артур Викторович Нежилое помещение";"г. Москва, мкр. Чертаново Северное, д.1а (3 этаж, пом.58)";"ЮАО";"Гранит";"Чиграй А.С.";"КВ";"55.6632602";"37.59913530000001";"04.10.2024";"#32510846"
"52134 и 90592";"ООО ЗУБРЁНОК Стоматологическая клиника";"г Москва Балаклавский проспект д 4 к 8";"ЮАО";"Гранит";"Дурновцев Д.Н.";"КВ";"55.64149399999999";"37.6130021";"04.10.2024";"#32510877"
"131872";"ООО ""Восток"" / аптека Планета Здоровья";"Москва г, Варшавское ш, дом № 141 А, корпус 1";"ЮАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.6430999";"37.6183764";"04.10.2024";"#32510880"
"91929";"ООО ЗУБРЁНОК, стоматология";"Москва г, Балаклавский пр-кт, дом 2, корпус 5";"ЮАО";"Гранит";"Дурновцев Н.Н.";"КВ";"55.6422549";"37.6184505";"04.10.2024";"#32511173"
"90706";"Аптека ""Планета здоровья""";"г.Москва, ул. Сумская 6/1";"ЮАО";"Гранит";"Пряшников Д.Ю.";"М";"55.6242197";"37.6040336";"04.10.2024";"#32511612"
"93083";"аптека ""Планета Здоровья""";"г. Москва ул. Красного Маяка д.10";"ЮАО";"Гранит";"Пряшников Д.Ю.";"М";"55.613125";"37.593084";"04.10.2024";"#32511617"
"90878";"ООО «ИМ» (Офис ООО Им Марк Трейдинг)";"Москва г, ш Варшавское, д. 114, к. 1";"ЮАО";"Технологии Безопасности";"Ахметкалиев Ф.Х.";"КВ";"55.6376151";"37.6177153";"04.10.2024";"#32519891"
"134522";"ИП Уткина Марина Владимировна , Кофейня «Сладкая жизнь»";"Московская обл, Ленинский р-н, Дрожжино рп, Южная ул, дом № 3, корпус 4";"ЮАО";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.5196101";"37.5943513";"03.10.2024";"#32510807"
"136164";"ООО «МЕД ДОКТОР АРЗ» (Лаборатория «ДНКОМ»)";"Московская обл, Ленинский р-н, Дрожжино рп, Южная ул, дом № 3, корпус 4";"ЮАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.5196101";"37.5943513";"03.10.2024";"#32510816"
"136002";"ООО «Амиго» (Магазин гастроном продукты)";"Московская обл, Ленинский р-н, Видное г, Святослава Рихтера ул, дом 6";"ЮАО";"Технологии Безопасности";"Калиниченко А.С.";"КВ";"55.538585";"37.643776";"03.10.2024";"#32511461"
"ТО-№ 292ТБ";"ИП Леонова Н.Е./Магазин разливного пива «Место Пиво»";"Московская обл, Ленинский р-н, Дрожжино рп, Новое ш, дом № 4, корпус 3";"ЮАО";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.5267126";"37.5886854";"03.10.2024";"#32510805"
"138092";"Агазаде Ширхан Эльхан Оглы, Кальянная";"МО,пос.Боброво,ул.Лесная,д.14";"ЮАО";"Технологии Безопасности";"Калиниченко А.С.";"КВ";"55.5319373";"37.6158989";"03.10.2024";"#38400648"
"133261";"ООО НПО РЭЙЛ/Аптека планета Здоровья";"Москва г, Ясеневая ул, дом 12, корпус 5, помещение 14 Н";"ЮАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.602632";"37.7329116";"02.10.2024";"#32510802"
"136708";"ООО ""Фанагория-Розничная Сеть"", Магазин «Фанагория»";"Москва г, вн.тер.г.муниципальный округ, Нагатинский затон, ул. Новинки, д. 4, помещение 68/1";"ЮАО";"Гранит";"Милованова Т.";"М";"55.676562";"37.667867";"01.10.2024";"#32510851"
"151665";"ООО ""ГОРИЗОНТ-М"", Магазин ""Алкотека""";"Москва г, Нагатинский 1-й проезд, дом 11, строение 1";"ЮАО";"Гранит";"Озеров С.";"КВ";"55.678707";"37.634631";"01.10.2024";"#32510853"
"130724";"ООО ""Мильстрим Ритейл""";"г.Москва, Нахимовский пр 1/1";"ЮАО";"Гранит";"Плиткин А.";"КВ";"55.662534";"37.617924";"01.10.2024";"#32510854"
"130166";"аптека ""Планета здоровья""";"г. Москва, ул. Судостроительная, д. 17";"ЮАО";"Гранит";"Пряшников Д.Ю.";"М";"55.68162170000001";"37.6742201";"01.10.2024";"#32511769"
"131467";"ООО ""Восток"" аптека Планета Москва";"Москва г, Корабельная ул, д. 6";"ЮАО";"Гранит";"Пряшников Д.Ю.";"М";"55.67886069999999";"37.6955719";"01.10.2024";"#32511790"
"133683";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""УЧЕБНО-МЕТОДИЧЕСКИЙ ЦЕНТР ПО ГРАЖДАНСКОЙ ОБОРОНЕ И ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ ГОРОДА МОСКВЫ";"Москва г, Каширское ш, дом 148, корпус 1";"ЮАО";"Нева-2";"Шагров Д.Д.";"М";"55.5953123";"37.7239951";"01.10.2024";"#32511830"
"136862";"ООО «Склад красок»/Магазин Дом Маляра";"Москва г, шоссе Варшавское, д. 65, к. 2";"ЮАО";"Технологии Безопасности";"Михно С.С.";"КВ";"55.6697786";"37.6269161";"01.10.2024";"#32519865"
"91915";"ООО «Бистро 317» (Салон красоты)";"Москва г, Болотниковская ул, дом № 31, корпус 1";"ЮАО";"Гранит";"Мозговой И.В.";"КВ";"55.6598472";"37.5903649";"01.10.2024";"#33814897"
"91466";"ООО ""ПРОСПЕКТ-М""/Агентство недвижимости";"Москва г, ул Болотниковская, д. 3, к. 1";"ЮАО";"Технологии Безопасности";"Сергеев Н.Р.";"КВ";"55.65582";"37.61531";"01.10.2024";"#33814760"
"137946";"ИП Новиков Сергей Анатольевич/Кладовка ""СКЛАДНО""";"г. Москва, ул. Судостроительная, д. 51";"ЮАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.68766549999999";"37.6920384";"01.10.2024";"#35684107"
"90897";"ООО «БМБ Компани» (Представительство ООО ""БМБ Компани";"Москва г, Люблинская ул, дом № 113";"ЮАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.673169";"37.7395127";"20.09.2024";"#32562208"
"132299";"ООО «ЛАСКА ГРУПП» (Гастроном)";"Москва г, Домодедовская ул, дом 44";"ЮАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.60146599999999";"37.714607";"19.09.2024";"#32510910"
"131574";"ООО ""Лето"" /Аптека Планета Здоровья";"Московская обл д. Мисайлово, Литературный бульвар, дом 6";"ЮАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.5599491";"37.8142112";"19.09.2024";"#32511087"
"132630";"ООО «Меркурий» (Салон красоты)";"Москва г, Балаклавский пр-кт, дом 20, корпус 4";"ЮАО";"Гранит";"Мозговой И.В.";"КВ";"55.6423271";"37.59634339999999";"19.09.2024";"#32511122"
"90215";"Студия маникюра Лаки ИП Черенцова И А";"Москва ул Академика Янгеля 1 корп 1";"ЮАО";"Гранит";"(пусто)";"КВ";"55.594053";"37.5967179";"19.09.2024";"#32511164"
"83764";"ИП Маталова Галина Акиндиновна, (Салон-парикмахерская на Варшавке)";"Москва Варшавское ш дом 74 к 1";"ЮАО";"Аллигатор";"(пусто)";"КВ";"55.655917";"37.618449";"19.09.2024";"#32511272"
